ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
safa1246,Safaliba-Dagaare,,,,safa1246,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234,atla1278,Atlantic-Congo,,,family,
fraf1239,Farefareic,,,,fraf1239,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237,atla1278,Atlantic-Congo,,,family,
moss1238,Mossic,,,,moss1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237,atla1278,Atlantic-Congo,,,family,
nabi1240,Nabit,Africa,10.857778,-0.671111,nabi1240,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239,atla1278,Atlantic-Congo,nabi1240,Nabit,language,
fare1241,Farefare,Africa,11.0918,-0.81109,fare1241,gur,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239,atla1278,Atlantic-Congo,fare1241,Farefare,language,not endangered
boon1238,Booni,Africa,,,boon1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239/fare1241,atla1278,Atlantic-Congo,fare1241,Farefare,dialect,
taln1239,Talni,Africa,,,taln1239,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239/fare1241,atla1278,Atlantic-Congo,fare1241,Farefare,dialect,
nank1249,Nankana,Africa,,,nank1249,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239/fare1241,atla1278,Atlantic-Congo,fare1241,Farefare,dialect,
gude1239,Gudeni,Africa,,,gude1239,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239/fare1241,atla1278,Atlantic-Congo,fare1241,Farefare,dialect,
nank1248,Nankani,Africa,,,nank1248,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239/fare1241,atla1278,Atlantic-Congo,fare1241,Farefare,dialect,
fraf1238,Frafra,Africa,,,fraf1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/moss1237/fraf1239/fare1241,atla1278,Atlantic-Congo,fare1241,Farefare,dialect,
