"","LID","Glottocode"
"722",895,"andi1255"
"723",896,"goem1240"
"724",897,"obol1243"
"725",898,"ando1256"
"726",899,"jara1245"
"727",900,"anua1242"
"728",901,"anyi1245"
"729",902,"ango1258"
"730",903,"anin1240"
"731",904,"omie1241"
"732",905,"apal1257"
"733",906,"saaa1240"
"734",907,"nort3139"
"735",908,"athp1241"
"736",909,"jica1244"
"737",910,"mesc1238"
"738",911,"apin1244"
"739",912,"apuc1241"
"740",913,"arop1243"
"741",914,"west2615"
"742",915,"safe1240"
"743",916,"akaw1239"
"744",917,"arch1244"
"745",918,"arab1267"
"746",919,"west2441"
"747",921,"arik1262"
"748",922,"arab1268"
"749",923,"arap1274"
"750",924,"karo1305"
"751",925,"rikb1245"
"752",926,"arbo1245"
"753",927,"araw1276"
"754",928,"moro1292"
"755",929,"asut1235"
"756",930,"amer1248"
"757",931,"aust1271"
"758",932,"toca1235"
"759",933,"aral1243"
"760",934,"atsu1245"
"761",935,"anei1239"
"762",936,"astu1245"
"763",937,"aulu1238"
"764",938,"molm1235"
"765",939,"awyi1241"
"766",940,"awiy1238"
"767",941,"avat1244"
"768",942,"avar1256"
"769",943,"auuu1241"
"770",944,"avok1242"
"771",945,"awap1236"
"772",946,"awad1243"
"773",947,"aeky1238"
"774",948,"awng1244"
"775",949,"yaka1272"
"776",951,"liby1240"
"777",952,"sana1295"
"778",953,"ayor1240"
"779",954,"sout2697"
"780",955,"adze1240"
"781",956,"high1278"
"782",957,"basa1284"
"783",958,"bare1276"
"784",959,"tuki1240"
"785",960,"bani1255"
"786",961,"yemb1246"
"787",962,"waim1255"
"788",963,"bava1246"
"789",964,"bamb1266"
"790",965,"bamu1253"
"791",966,"tune1261"
"792",967,"baat1238"
"793",968,"bata1289"
"794",969,"bauu1244"
"795",970,"bats1242"
"796",971,"unea1237"
"797",972,"nort2819"
"798",973,"baba1268"
"799",974,"baou1238"
"800",975,"bard1255"
"801",976,"buna1275"
"802",977,"bann1247"
"803",978,"kalu1248"
"804",979,"benc1235"
"805",980,"kohu1244"
"806",981,"bana1305"
"807",982,"pamo1252"
"808",983,"bisl1239"
"809",984,"bade1248"
"810",985,"cent1972"
"811",986,"baka1274"
"812",987,"budu1248"
"813",988,"indo1317"
"814",989,"budu1265"
"815",990,"bahn1262"
"816",991,"buru1320"
"817",992,"orok1266"
"818",993,"bena1264"
"819",994,"beem1239"
"820",995,"bell1243"
"821",996,"beng1282"
"822",997,"guib1246"
"823",998,"beta1252"
"824",999,"jurm1239"
"825",1000,"bari1284"
"826",1001,"bafu1246"
"827",1002,"bada1257"
"828",1004,"gahr1239"
"829",1005,"bond1245"
"830",1006,"sout2642"
"831",1007,"bagr1243"
"832",1008,"bang1368"
"833",1009,"bhil1251"
"834",1010,"bina1277"
"835",1011,"bhoj1244"
"836",1012,"brit1235"
"837",1013,"bima1247"
"838",1014,"biak1248"
"839",1015,"badi1246"
"840",1016,"biss1248"
"841",1017,"bidi1241"
"842",1018,"biaf1240"
"843",1019,"bisu1244"
"844",1020,"bimo1239"
"845",1021,"bera1259"
"846",1022,"sara1326"
"847",1023,"bang1339"
"848",1024,"bahi1254"
"849",1025,"burj1242"
"850",1026,"binu1245"
"851",1027,"bala1302"
"852",1028,"baya1257"
"853",1029,"baka1272"
"854",1030,"binu1244"
"855",1031,"brok1247"
"856",1032,"biko1240"
"857",1033,"komc1235"
"858",1034,"baka1277"
"859",1035,"bilu1245"
"860",1036,"siks1238"
"861",1037,"boli1255"
"862",1038,"bilo1248"
"863",1039,"bala1310"
"864",1040,"bala1315"
"865",1041,"buru1306"
"866",1042,"bemb1257"
"867",1043,"cent2083"
"868",1044,"jama1261"
"869",1045,"bang1354"
"870",1046,"bant1286"
"871",1047,"bora1263"
"872",1048,"barb1263"
"873",1049,"nucl1695"
"874",1050,"bero1242"
"875",1051,"lowa1242"
"876",1053,"bong1285"
"877",1054,"tiey1235"
"878",1055,"kaur1271"
"879",1056,"bugi1244"
"880",1057,"bong1291"
"881",1058,"boko1266"
"882",1059,"busa1253"
"883",1060,"beng1239"
"884",1061,"lave1249"
"885",1062,"berb1259"
"886",1063,"baur1253"
"887",1064,"mokp1239"
"888",1065,"bara1361"
"889",1066,"boru1252"
"890",1067,"bret1244"
"891",1068,"east2332"
"892",1069,"west2397"
"893",1070,"bodo1269"
"894",1071,"bass1258"
"895",1072,"kati1270"
"896",1073,"baga1272"
"897",1074,"bais1246"
"898",1075,"basq1248"
"899",1076,"biat1246"
"900",1077,"bata1301"
"901",1078,"bata1292"
"902",1079,"beot1247"
"903",1080,"bush1247"
"904",1081,"buna1273"
"905",1082,"buku1249"
"906",1083,"bulu1251"
"907",1084,"tere1278"
"908",1085,"bura1292"
"909",1086,"bube1242"
"910",1087,"birr1240"
"911",1088,"bura1267"
"912",1089,"vlaa1235"
"913",1090,"dibo1245"
"914",1091,"bwek1238"
"915",1092,"boro1277"
"916",1093,"buli1254"
"917",1094,"bash1264"
"918",1095,"buri1258"
"919",1096,"puri1258"
"920",1097,"bili1260"
"921",1098,"baru1267"
"922",1099,"bali1278"
"923",1100,"boik1241"
"924",1101,"nica1252"
"925",1102,"buli1255"
"926",1103,"biri1256"
"927",1104,"braz1236"
"928",1105,"chor1273"
"929",1106,"gari1256"
"930",1107,"chuj1250"
"931",1108,"cadd1256"
"932",1109,"niva1238"
"933",1110,"caro1242"
"934",1111,"cemu1238"
"935",1112,"cham1313"
"936",1113,"chac1251"
"937",1114,"carr1249"
"938",1115,"mose1249"
"939",1116,"cavi1250"
"940",1117,"chiq1248"
"941",1118,"cayu1261"
"942",1119,"cara1272"
"943",1120,"cari1279"
"944",1121,"chib1270"
"945",1122,"chim1309"
"946",1123,"chac1249"
"947",1124,"chav1241"
"948",1125,"nyah1250"
"949",1126,"cash1251"
"950",1127,"cacu1241"
"951",1128,"coma1246"
"952",1129,"nort3189"
"953",1130,"chep1245"
"954",1131,"chau1259"
"955",1132,"mind1253"
"956",1133,"cebu1242"
"957",1134,"cher1273"
"958",1135,"cata1286"
"959",1136,"taba1266"
"960",1137,"chin1286"
"961",1138,"quio1240"
"962",1139,"chra1242"
"963",1140,"chol1284"
"964",1141,"chul1246"
"965",1142,"chey1247"
"966",1143,"chic1270"
"967",1144,"tiri1258"
"968",1145,"chit1275"
"969",1146,"west2650"
"970",1147,"chru1239"
"971",1148,"uppe1439"
"972",1149,"cham1309"
"973",1150,"east2563"
"974",1151,"ashe1273"
"975",1152,"cabe1245"
"976",1153,"shor1247"
"977",1154,"chua1250"
"978",1155,"cakc1235"
"979",1156,"khum1248"
"980",1157,"anuf1239"
"981",1158,"tayo1238"
"982",1159,"ronn1241"
"983",1160,"chal1275"
"984",1161,"idum1241"
"985",1162,"clal1241"
"986",1163,"lowl1260"
"987",1164,"embe1262"
"988",1166,"tepe1279"
"989",1167,"chic1271"
"990",1168,"coca1259"
"991",1169,"kore1283"
"992",1170,"colu1241"
"993",1171,"como1259"
"994",1172,"copt1239"
"995",1173,"wame1240"
"996",1174,"choc1279"
"997",1175,"pala1351"
"998",1176,"chip1261"
"999",1177,"lonw1238"
"1000",1178,"coeu1236"
"1001",1179,"cree1272"
"1002",1180,"mich1243"
"1003",1181,"crim1257"
"1004",1182,"cree1270"
"1005",1183,"corn1251"
"1006",1184,"crow1244"
"1007",1185,"iyoj1235"
"1008",1186,"sese1246"
"1009",1187,"kash1274"
"1010",1188,"asho1236"
"1011",1189,"coas1301"
"1012",1190,"chin1283"
"1013",1191,"cent2140"
"1014",1192,"soch1239"
"1015",1193,"siyi1240"
"1016",1194,"tata1258"
"1017",1195,"tedi1235"
"1018",1196,"chol1282"
"1019",1197,"embe1260"
"1020",1198,"west2644"
"1021",1199,"cuaa1241"
"1022",1200,"cube1242"
"1023",1201,"cuib1242"
"1024",1202,"culi1244"
"1025",1203,"cupe1243"
"1026",1204,"usil1237"
"1027",1205,"teut1235"
"1028",1206,"nopa1235"
"1029",1207,"czec1258"
"1030",1208,"dang1274"
"1031",1209,"nucl1683"
"1032",1210,"adyg1241"
"1033",1211,"adyg1241"
